"","idigbio.uuid","dwc.genus","dwc.specificEpithet","dwc.institutionCode","dwc.catalogNumber"
"336","c61f438f-e679-41b6-a053-65b995499263","Holothuria","atra","FLMNH","13516-Echinodermata"
"337","63ad2e82-4156-4b17-8d3b-a99554e169a0","Holothuria","atra","FLMNH","5034-Echinodermata"
"338","14fe8abd-8b44-401d-8fa3-60e744dbc65c","Holothuria","atra","FLMNH","5702-Echinodermata"
"339","51c5fdd8-935c-4cf6-961a-2583aea682aa","Holothuria","atra","FLMNH","4311-Echinodermata"
"340","2b57229f-9912-4445-bdb7-b4b39d7fc93b","Holothuria","atra","FLMNH","14087-Echinodermata"
"341","02c81f19-ec63-40ec-a13e-c7568c5df500","Holothuria","atra","FLMNH","12514-Echinodermata"
"342","dc0260c3-3bc2-4af7-b00f-50b429758111","Holothuria","atra","FLMNH","4519-Echinodermata"
"343","ccda26d0-d957-4361-9f5b-48b2de860f9b","Holothuria","atra","FLMNH","15991-Echinodermata"
"344","b29c4f66-08fe-412a-af13-8ca9dcf92f79","Holothuria","atra","FLMNH","1936-Echinodermata"
"345","73074f02-d75a-4a43-b1c6-cbafc6c1fb03","Holothuria","atra","FLMNH","14280-Echinodermata"
"346","a15c2a86-8bd3-4569-a814-7d39e6dc623e","Holothuria","atra","FLMNH","12294-Echinodermata"
"347","fa4f97be-f3e2-4ca1-a87d-e650988d73f3","Holothuria","atra","FLMNH","9948-Echinodermata"
"348","aded6303-e0e1-43a6-8140-c13be2793c4f","Holothuria","atra","FLMNH","5929-Echinodermata"
"349","46eb86a5-820c-4fab-a76c-6750a5fda716","Holothuria","atra","FLMNH","12358-Echinodermata"
"350","47a6d8a3-b557-4603-bf84-454e3cce7f97","Holothuria","atra","FLMNH","11335-Echinodermata"
"351","69837b91-6f3d-46b0-a234-8c999f3e3500","Holothuria","atra","FLMNH","4492-Echinodermata"
"352","85dacec4-8736-4bef-a4cf-b92cba0a1911","Holothuria","atra","FLMNH","8048-Echinodermata"
"353","c580a6fe-3141-405c-8346-9d86150316c2","Holothuria","atra","MCZ","HOL-1507"
